// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// ----------------------------------------------------------------------------------------------------------------------
// [*/N]        [*/N]          [*/N]          [*/N]          [*/N]          [InMs]        [InMs]      [InMs]
// SkillIndex   MinDexterity   MaxDexterity   MinCharSpeed   MaxCharSpeed   AttackDelay   BaseSpeed   MainSpeed   Comment
// ----------------------------------------------------------------------------------------------------------------------
   *            *              *              *              *              *             1500        4           // Formula: (BaseSpeed-(PlayerSpeed*MainSpeed)) [Only if AttackDelay is *]
end

1
// ---------------------------------------------------
// Index   Group   Value   DW   DK   FE   MG   Comment
// ---------------------------------------------------
   1       1       0       1    1    1    1    //Poison
   2       1       0       1    1    1    1    //Meteorite
   3       1       0       1    1    1    1    //Lightning
   4       1       0       1    1    1    1    //Fire Ball
   5       2       1       1    1    1    1    //Flame
   7       1       0       1    1    1    1    //Ice
   8       2       0       1    1    1    1    //Twister
   9       2       1       1    1    1    1    //Evil Spirit
   10      2       1       1    1    1    1    //Hell Fire
   11      1       0       1    1    1    1    //Power Wave
   12      2       0       1    1    1    1    //Aqua Beam
   13      2       0       1    1    1    1    //Blast
   14      2       1       1    1    1    1    //Inferno
   16      0       1       1    1    1    1    //Mana Shield
   17      1       0       1    1    1    1    //Energy Ball
   19      1       0       1    1    1    1    //Falling Slash
   20      1       0       1    1    1    1    //Lunge
   21      1       0       1    1    1    1    //Uppercut
   22      1       0       1    1    1    1    //Cyclone
   23      1       0       1    1    1    1    //Slash
   24      2       1       1    1    1    1    //Triple Shot
   26      0       1       1    1    1    1    //Heal
   27      0       1       1    1    1    1    //Greater Defense
   28      0       1       1    1    1    1    //Greater Damage
   38      3       0       1    1    1    1    //Decay
   39      3       0       1    1    1    1    //Ice Storm
   41      2       1       1    1    1    1    //Twisting Slash
   42      2       1       1    1    1    1    //Rageful Blow
   43      2       0       1    1    1    1    //Death Stab
   48      0       2       1    1    1    1    //Greater Life
   51      1       0       1    1    1    1    //Ice Arrow
   52      2       0       1    1    1    1    //Penetration
   55      2       0       1    1    1    1    //Fire Slash
   56      3       1       1    1    1    1    //Power Slash
end
