// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// ------------------------------------------------
// [Minutes]     [Minutes]    [Minutes]   [Minutes]
// WarningTime   NotifyTime   EventTime   CloseTime
// ------------------------------------------------
   5             1            15          4         
end

1
// ------------------------------------------------------------------------------
// [*/0000]    [*/0~12]     [*/0~31]   [*/1~7]    [*/0~23]    [*/0~59]   [*/0~59]
// StartYear   StartMonth   StartDay   StartDoW   StartHour   StartMin   StartSec
// ------------------------------------------------------------------------------
   *           *            *          *          0           0          0
   *           *            *          *          2           0          0
   *           *            *          *          4           0          0
   *           *            *          *          6           0          0
   *           *            *          *          8           0          0
   *           *            *          *          10          0          0
   *           *            *          *          12          0          0
   *           *            *          *          14          0          0
   *           *            *          *          16          0          0
   *           *            *          *          18          0          0
   *           *            *          *          20          0          0
   *           *            *          *          22          0          0
end

2
// ------------------------------------------------
// [0~6]        [0~50000000]       [0~50000000]
// EventIndex   ExperienceTable1   ExperienceTable2
// ------------------------------------------------
   0            20000              5000
   1            50000              10000
   2            80000              15000
   3            90000              20000
   4            100000             25000
   5            110000             30000
end

3
// -------------------------------------------
// [0~6]        [0~2000000000]  [0~2000000000]
// EventIndex   MoneyTable1     MoneyTable2
// -------------------------------------------
   0            20000	        10000
   1            50000	        25000
   2            100000	        50000
   3            150000          80000
   4            200000          100000
   5            250000          120000
end

4
// ----------------------------------------
// [0~6]        [0~10000000]  [0~10000000]
// EventIndex   GateNpcLife   StatueNpcLife
// ----------------------------------------
   0            65000         150000
   1            105000        205000
   2            145000        260000
   3            185000        325000
   4            225000        400000
   5            265000        480000
end

5
// ----------------------------------------
// [0~6]        [0~255]        [0~255]
// EventIndex   SaintStatueX   SaintStatueY
// ----------------------------------------
   0            014            095
   1            014            095
   2            014            095
   3            014            095
   4            014            095
   5            014            095
end
