// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// ------------------------------------------------
// [Minutes]     [Minutes]    [Minutes]   [Minutes]
// WarningTime   NotifyTime   EventTime   CloseTime
// ------------------------------------------------
   5             1            20          4         
end

1
// ------------------------------------------------------------------------------
// [*/0000]    [*/0~12]     [*/0~31]   [*/1~7]    [*/0~23]    [*/0~59]   [*/0~59]
// StartYear   StartMonth   StartDay   StartDoW   StartHour   StartMin   StartSec
// ------------------------------------------------------------------------------
   *           *            *          *          0           30         0
   *           *            *          *          3           30         0
   *           *            *          *          6           30         0
   *           *            *          *          9           30         0
   *           *            *          *          12           30         0
   *           *            *          *          15           30         0
   *           *            *          *          18           30         0
   *           *            *          *          21           30         0
end

2
// -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [0~5]        [0~50000000]        [0~50000000]        [0~50000000]        [0~50000000]        [0~50000000]        [0~50000000]        [0~50000000]        [0~50000000]        [0~50000000]        [0~50000000]
// EventIndex   RewardExperience1   RewardExperience2   RewardExperience3   RewardExperience4   RewardExperience5   RewardExperience6   RewardExperience7   RewardExperience8   RewardExperience9   RewardExperience10
// -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0            6000                4000                4000                2000                2000                2000                1000                1000                1000                1000
   1            8000                6000                6000                4000                4000                4000                2000                2000                2000                2000
   2            10000               8000                8000                6000                6000                6000                4000                4000                4000                4000
   3            20000               10000               10000               8000                8000                8000                6000                6000                6000                6000
end

3
// -----------------------------------------------------------------------------------------------------------------------------------------------------------------
// [0~5]        [0~1000000]    [0~1000000]    [0~1000000]    [0~1000000]    [0~1000000]    [0~1000000]    [0~1000000]    [0~1000000]    [0~1000000]    [0~1000000]
// EventIndex   RewardMoney1   RewardMoney2   RewardMoney3   RewardMoney4   RewardMoney5   RewardMoney6   RewardMoney7   RewardMoney8   RewardMoney9   RewardMoney10
// -----------------------------------------------------------------------------------------------------------------------------------------------------------------
   0         	30000          25000          25000          20000          20000          20000          15000          15000          15000          15000
   1         	40000          35000          35000          30000          30000          30000          25000          25000          25000          25000
   2         	50000          45000          45000          40000          40000          40000          35000          35000          35000          35000
   3         	60000          55000          55000          50000          50000          50000          45000          45000          45000          45000
end
