// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// -------------------------------------------------------------------------------------
// Index   CommonMinLevel   CommonMaxLevel   SpecialMinLevel   SpecialMaxLevel   Comment
// -------------------------------------------------------------------------------------
   0       15               80               10                60                //Blood Castle Level 1
   1       81               130              61                110               //Blood Castle Level 2
   2       131              180              111               160               //Blood Castle Level 3
   3       181              230              161               210               //Blood Castle Level 4
   4       231              280              211               260               //Blood Castle Level 5
   5       281              *                261               *                 //Blood Castle Level 6
end

1
// -------------------------------------------------------------------------------------
// Index   CommonMinLevel   CommonMaxLevel   SpecialMinLevel   SpecialMaxLevel   Comment
// -------------------------------------------------------------------------------------
   0       10               99               6                 66                //Devil Square 1
   1       100              179              67                118               //Devil Square 2
   2       180              249              119               166               //Devil Square 3
   3       250              *                167               *                 //Devil Square 4
end
