// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// ---------------------------------------------
// [0~6]     [0~3]                  [*/InMs]
// BCLevel   Stage   MonsterIndex   MaxRegenTime
// ---------------------------------------------
   0         0       84             1000
   0         0       85             1000
   0         0       86             1000
   0         0       87             1000
   0         0       88             1000
   0         3       89             1000
   1         0       90             1000
   1         0       91             1000
   1         0       92             1000
   1         0       93             1000
   1         0       94             1000
   1         3       95             1000
   2         0       96             1000
   2         0       97             1000
   2         0       98             1000
   2         0       99             1000
   2         0       111            1000
   2         3       112            1000
   3         0       113            1000
   3         0       114            1000
   3         0       115            1000
   3         0       116            1000
   3         0       117            1000
   3         3       118            1000
   4         0       119            1000
   4         0       120            1000
   4         0       121            1000
   4         0       122            1000
   4         0       123            1000
   4         3       124            1000
   5         0       125            1000
   5         0       126            1000
   5         0       127            1000
   5         0       128            1000
   5         0       129            1000
   5         3       130            1000
end

2
// ---------------------------------------------
// [0~5]     [0~3]                  [*/InMs]
// DSLevel   Stage   MonsterIndex   MaxRegenTime
// ---------------------------------------------
   0         0       15             1000
   0         0       17             1000
   0         1       5              1000
   0         1       9              1000
   0         2       10             1000
   0         2       16             1000
   0         3       18             1000
   1         0       36             1000
   1         0       39             1000
   1         1       34             1000
   1         1       41             1000
   1         2       35             1000
   1         2       40             1000
   1         3       38             1000
   2         0       45             1000
   2         0       46             1000
   2         1       37             1000
   2         1       51             1000
   2         2       48             1000
   2         2       52             1000
   2         3       49             1000
   3         0       64             1000
   3         0       65             1000
   3         2       61             1000
   3         2       70             1000
   3         3       63             1000
end
