// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]   [Level]   [Skill]   [Luck]    [JoL]     [Exc]     
// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~4]           [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]    [0~10000]
// ItemIndex   RewardGroup     Option0   Option1   Option2   Option3   Option4   Duration   DropRate   Comment
// -----------------------------------------------------------------------------------------------------------
   12,015      0               *         *         *         *         *         0          1000       // Jewel of Chaos
   14,013      0               *         *         *         *         *         0          100        // Jewel of Bless
   14,013      0               *         *         *         *         *         0          100        // Jewel of Soul
   14,016      0               *         *         *         *         *         0          100        // Jewel of Life
   12,015      1               *         *         *         *         *         0          1000       // Jewel of Chaos
   14,013      1               *         *         *         *         *         0          300        // Jewel of Bless
   14,013      1               *         *         *         *         *         0          300        // Jewel of Soul
   14,016      1               *         *         *         *         *         0          300        // Jewel of Life
   12,015      2               *         *         *         *         *         0          1000       // Jewel of Chaos
   14,013      2               *         *         *         *         *         0          500        // Jewel of Bless
   14,013      2               *         *         *         *         *         0          500        // Jewel of Soul
   14,016      2               *         *         *         *         *         0          500        // Jewel of Life
   12,015      3               *         *         *         *         *         0          1000       // Jewel of Chaos
   14,013      3               *         *         *         *         *         0          700        // Jewel of Bless
   14,013      3               *         *         *         *         *         0          700        // Jewel of Soul
   14,016      3               *         *         *         *         *         0          700        // Jewel of Life
   12,015      4               *         *         *         *         *         0          1000       // Jewel of Chaos
   14,013      4               *         *         *         *         *         0          1000       // Jewel of Bless
   14,013      4               *         *         *         *         *         0          1000       // Jewel of Soul
   14,016      4               *         *         *         *         *         0          1000       // Jewel of Life
end
