2
// -----------------------------------
// [0~100]    [0~100]     [0~2]
// ItemRate   MoneyDrop   BagUseEffect
// -----------------------------------
   100        0           0
end

3
// --------------------------------
// [0~9]       [0~10000]  [*/N]
// BagIndex    DropRate   MapNumber
// --------------------------------
   0           10000      *
end

4
// -------------------------------------------------------------------------------------------------------------------
// [0~9]      [5~16]    [0~10000]     [1~255]        [1~255]        [Class 0~2]
// BagIndex   Section   SectionRate   MinDropCount   MaxDropCount   DW   DK   FE   MG
// -------------------------------------------------------------------------------------------------------------------
   0          5         10000         1              1              1    1    1    1
end

5
// -----------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]              [Level]   [Skill]   [Luck]    [JoL]     [Exc]     [InSeg]
// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]        [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     
// ItemIndex   ItemLevel     GradeCount   Option0   Option1   Option2   Option3   Option4   Duration   Comment
// -----------------------------------------------------------------------------------------------------------
   07,017	   0       0        *         12         *         *         20       0          //Dark Phoenix
   08,017	   0       0        *         12         *         *         20       0          //Dark Phoenix
   09,017	   0       0        *         12         *         *         20       0          //Dark Phoenix
   10,017	   0       0        *         12         *         *         20       0          //Dark Phoenix
   11,017	   0       0        *         12         *         *         20       0          //Dark Phoenix			
   07,021	   0       0        *         12         *         *         20       0          //Flaming Phoenix
   08,021	   0       0        *         12         *         *         20       0          //Flaming Phoenix
   09,021	   0       0        *         12         *         *         20       0          //Flaming Phoenix
   10,021	   0       0        *         12         *         *         20       0          //Flaming Phoenix
   11,021	   0       0        *         12         *         *         20       0          //Flaming Phoenix		
   07,022	   0       0        *         12         *         *         20       0          //Dark Side
   08,022	   0       0        *         12         *         *         20       0          //Dark Side
   09,022	   0       0        *         12         *         *         20       0          //Dark Side
   10,022	   0       0        *         12         *         *         20       0          //Dark Side
   11,022	   0       0        *         12         *         *         20       0          //Dark Side			
   07,024	   0       0        *         12         *         *         20       0          //Nature
   08,024	   0       0        *         12         *         *         20       0          //Nature
   09,024	   0       0        *         12         *         *         20       0          //BNature
   10,024	   0       0        *         12         *         *         20       0          //Nature
   11,024	   0       0        *         12         *         *         20       0          //Nature			
   07,025	   0       0        *         12         *         *         20       0          //Embroidered
   08,025	   0       0        *         12         *         *         20       0          //Embroidered
   09,025	   0       0        *         12         *         *         20       0          //Embroidered
   10,025	   0       0        *         12         *         *         20       0          //Embroidered
   11,025	   0       0        *         12         *         *         20       0          //Embroidered			
   07,026	   0       0        *         12         *         *         20       0          //Storm
   08,026	   0       0        *         12         *         *         20       0          //Storm
   09,026	   0       0        *         12         *         *         20       0          //Storm
   10,026	   0       0        *         12         *         *         20       0          //Storm
   11,026	   0       0        *         12         *         *         20       0          //Storm			
   07,027	   0       0        *         12         *         *         20       0          //Magus
   08,027	   0       0        *         12         *         *         20       0          //Magus
   09,027	   0       0        *         12         *         *         20       0          //Magus
   10,027	   0       0        *         12         *         *         20       0          //Magus
   11,027	   0       0        *         12         *         *         20       0          //Magus			
   07,028	   0       0        *         12         *         *         20       0          //Adamantine
   08,028	   0       0        *         12         *         *         20       0          //Adamantine
   09,028	   0       0        *         12         *         *         20       0          //Adamantine
   10,028	   0       0        *         12         *         *         20       0          //Adamantine
   11,028	   0       0        *         12         *         *         20       0          //Adamantine			
   08,023	   0       0        *         12         *         *         20       0          //Hurricane
   09,023	   0       0        *         12         *         *         20       0          //Hurricane
   10,023	   0       0        *         12         *         *         20       0          //Hurricane
   11,023	   0       0        *         12         *         *         20       0          //Hurricane			
   00,019	   0       0        *         12         *         *         20       0          //Absolute Sword of Archangel
   00,020	   0       0        *         12         *         *         20       0          //Blade of Devourer		
   05,009	   0       0        *         12         *         *         20       0          //Crystal Staff
   05,010	   0       0        *         12         *         *         20       0          //Absolute Staff of Archangel
   05,011	   0       0        *         12         *         *         20       0          //Kundun Staff			
   02,010	   0       0        *         12         *         *         20       0          //Stalker's Mace
   02,011	   0       0        *         12         *         *         20       0          //Mace of Gimli
   02,012	   0       0        *         12         *         *         20       0          //Phantom Mace
   02,013	   0       0        *         12         *         *         20       0          //Mace of the King		
   03,010	   0       0        *         12         *         *         20       0          //Dragon Spear			
   04,017	   0       0        *         12         *         *         20       0          //Celestial Bow
   04,018	   0       0        *         12         *         *         20       0          //Archangel Crossbow		
   06,007	   0       0        *         12         *         *         20       0          //Spiked Shield
   06,009	   0       0        *         12         *         *         20       0          //Iron Shield
   06,011	   0       0        *         12         *         *         20       0          //Serpent Shield
   06,012	   0       0        *         12         *         *         20       0          //Bronce Shield
   06,014	   0       0        *         12         *         *         20       0          //Chaos Shield
   06,015	   0       0        *         12         *         *         20       0          //Grand Soul Shield
//                            
   07,017	   0       0        *         12         12        *         12       0          //Dark Phoenix
   08,017	   0       0        *         12         12        *         12       0          //Dark Phoenix
   09,017	   0       0        *         12         12        *         12       0          //Dark Phoenix
   10,017	   0       0        *         12         12        *         12       0          //Dark Phoenix
   11,017	   0       0        *         12         12        *         12       0          //Dark Phoenix			
   07,021	   0       0        *         12         12        *         12       0          //Flaming Phoenix
   08,021	   0       0        *         12         12        *         12       0          //Flaming Phoenix
   09,021	   0       0        *         12         12        *         12       0          //Flaming Phoenix
   10,021	   0       0        *         12         12        *         12       0          //Flaming Phoenix
   11,021	   0       0        *         12         12        *         12       0          //Flaming Phoenix		
   07,022	   0       0        *         12         12        *         12       0          //Dark Side
   08,022	   0       0        *         12         12        *         12       0          //Dark Side
   09,022	   0       0        *         12         12        *         12       0          //Dark Side
   10,022	   0       0        *         12         12        *         12       0          //Dark Side
   11,022	   0       0        *         12         12        *         12       0          //Dark Side			
   07,024	   0       0        *         12         12        *         12       0          //Nature
   08,024	   0       0        *         12         12        *         12       0          //Nature
   09,024	   0       0        *         12         12        *         12       0          //BNature
   10,024	   0       0        *         12         12        *         12       0          //Nature
   11,024	   0       0        *         12         12        *         12       0          //Nature			
   07,025	   0       0        *         12         12        *         12       0          //Embroidered
   08,025	   0       0        *         12         12        *         12       0          //Embroidered
   09,025	   0       0        *         12         12        *         12       0          //Embroidered
   10,025	   0       0        *         12         12        *         12       0          //Embroidered
   11,025	   0       0        *         12         12        *         12       0          //Embroidered			
   07,026	   0       0        *         12         12        *         12       0          //Storm
   08,026	   0       0        *         12         12        *         12       0          //Storm
   09,026	   0       0        *         12         12        *         12       0          //Storm
   10,026	   0       0        *         12         12        *         12       0          //Storm
   11,026	   0       0        *         12         12        *         12       0          //Storm			
   07,027	   0       0        *         12         12        *         12       0          //Magus
   08,027	   0       0        *         12         12        *         12       0          //Magus
   09,027	   0       0        *         12         12        *         12       0          //Magus
   10,027	   0       0        *         12         12        *         12       0          //Magus
   11,027	   0       0        *         12         12        *         12       0          //Magus			
   07,028	   0       0        *         12         12        *         12       0          //Adamantine
   08,028	   0       0        *         12         12        *         12       0          //Adamantine
   09,028	   0       0        *         12         12        *         12       0          //Adamantine
   10,028	   0       0        *         12         12        *         12       0          //Adamantine
   11,028	   0       0        *         12         12        *         12       0          //Adamantine			
   08,023	   0       0        *         12         12        *         12       0          //Hurricane
   09,023	   0       0        *         12         12        *         12       0          //Hurricane
   10,023	   0       0        *         12         12        *         12       0          //Hurricane
   11,023	   0       0        *         12         12        *         12       0          //Hurricane			
   00,019	   0       0        *         12         12        *         12       0          //Absolute Sword of Archangel
   00,020	   0       0        *         12         12        *         12       0          //Blade of Devourer		
   05,009	   0       0        *         12         12        *         12       0          //Crystal Staff
   05,010	   0       0        *         12         12        *         12       0          //Absolute Staff of Archangel
   05,011	   0       0        *         12         12        *         12       0          //Kundun Staff			
   02,010	   0       0        *         12         12        *         12       0          //Stalker's Mace
   02,011	   0       0        *         12         12        *         12       0          //Mace of Gimli
   02,012	   0       0        *         12         12        *         12       0          //Phantom Mace
   02,013	   0       0        *         12         12        *         12       0          //Mace of the King		
   03,010	   0       0        *         12         12        *         12       0          //Dragon Spear			
   04,017	   0       0        *         12         12        *         12       0          //Celestial Bow
   04,018	   0       0        *         12         12        *         12       0          //Archangel Crossbow		
   06,007	   0       0        *         12         12        *         12       0          //Spiked Shield
   06,009	   0       0        *         12         12        *         12       0          //Iron Shield
   06,011	   0       0        *         12         12        *         12       0          //Serpent Shield
   06,012	   0       0        *         12         12        *         12       0          //Bronce Shield
   06,014	   0       0        *         12         12        *         12       0          //Chaos Shield
   06,015	   0       0        *         12         12        *         12       0          //Grand Soul Shield
//                            
   07,017	   0       0        *         12         12        *         20       0          //Dark Phoenix
   08,017	   0       0        *         12         12        *         20       0          //Dark Phoenix
   09,017	   0       0        *         12         12        *         20       0          //Dark Phoenix
   10,017	   0       0        *         12         12        *         20       0          //Dark Phoenix
   11,017	   0       0        *         12         12        *         20       0          //Dark Phoenix			
   07,021	   0       0        *         12         12        *         20       0          //Flaming Phoenix
   08,021	   0       0        *         12         12        *         20       0          //Flaming Phoenix
   09,021	   0       0        *         12         12        *         20       0          //Flaming Phoenix
   10,021	   0       0        *         12         12        *         20       0          //Flaming Phoenix
   11,021	   0       0        *         12         12        *         20       0          //Flaming Phoenix		
   07,022	   0       0        *         12         12        *         20       0          //Dark Side
   08,022	   0       0        *         12         12        *         20       0          //Dark Side
   09,022	   0       0        *         12         12        *         20       0          //Dark Side
   10,022	   0       0        *         12         12        *         20       0          //Dark Side
   11,022	   0       0        *         12         12        *         20       0          //Dark Side			
   07,024	   0       0        *         12         12        *         20       0          //Nature
   08,024	   0       0        *         12         12        *         20       0          //Nature
   09,024	   0       0        *         12         12        *         20       0          //BNature
   10,024	   0       0        *         12         12        *         20       0          //Nature
   11,024	   0       0        *         12         12        *         20       0          //Nature			
   07,025	   0       0        *         12         12        *         20       0          //Embroidered
   08,025	   0       0        *         12         12        *         20       0          //Embroidered
   09,025	   0       0        *         12         12        *         20       0          //Embroidered
   10,025	   0       0        *         12         12        *         20       0          //Embroidered
   11,025	   0       0        *         12         12        *         20       0          //Embroidered			
   07,026	   0       0        *         12         12        *         20       0          //Storm
   08,026	   0       0        *         12         12        *         20       0          //Storm
   09,026	   0       0        *         12         12        *         20       0          //Storm
   10,026	   0       0        *         12         12        *         20       0          //Storm
   11,026	   0       0        *         12         12        *         20       0          //Storm			
   07,027	   0       0        *         12         12        *         20       0          //Magus
   08,027	   0       0        *         12         12        *         20       0          //Magus
   09,027	   0       0        *         12         12        *         20       0          //Magus
   10,027	   0       0        *         12         12        *         20       0          //Magus
   11,027	   0       0        *         12         12        *         20       0          //Magus			
   07,028	   0       0        *         12         12        *         20       0          //Adamantine
   08,028	   0       0        *         12         12        *         20       0          //Adamantine
   09,028	   0       0        *         12         12        *         20       0          //Adamantine
   10,028	   0       0        *         12         12        *         20       0          //Adamantine
   11,028	   0       0        *         12         12        *         20       0          //Adamantine			
   08,023	   0       0        *         12         12        *         20       0          //Hurricane
   09,023	   0       0        *         12         12        *         20       0          //Hurricane
   10,023	   0       0        *         12         12        *         20       0          //Hurricane
   11,023	   0       0        *         12         12        *         20       0          //Hurricane			
   00,019	   0       0        *         12         12        *         20       0          //Absolute Sword of Archangel
   00,020	   0       0        *         12         12        *         20       0          //Blade of Devourer		
   05,009	   0       0        *         12         12        *         20       0          //Crystal Staff
   05,010	   0       0        *         12         12        *         20       0          //Absolute Staff of Archangel
   05,011	   0       0        *         12         12        *         20       0          //Kundun Staff			
   02,010	   0       0        *         12         12        *         20       0          //Stalker's Mace
   02,011	   0       0        *         12         12        *         20       0          //Mace of Gimli
   02,012	   0       0        *         12         12        *         20       0          //Phantom Mace
   02,013	   0       0        *         12         12        *         20       0          //Mace of the King		
   03,010	   0       0        *         12         12        *         20       0          //Dragon Spear			
   04,017	   0       0        *         12         12        *         20       0          //Celestial Bow
   04,018	   0       0        *         12         12        *         20       0          //Archangel Crossbow		
   06,007	   0       0        *         12         12        *         20       0          //Spiked Shield
   06,009	   0       0        *         12         12        *         20       0          //Iron Shield
   06,011	   0       0        *         12         12        *         20       0          //Serpent Shield
   06,012	   0       0        *         12         12        *         20       0          //Bronce Shield
   06,014	   0       0        *         12         12        *         20       0          //Chaos Shield
   06,015	   0       0        *         12         12        *         20       0          //Grand Soul Shield
//                            
   07,017	   0       0        *         12         *         *         12       0          //Dark Phoenix
   08,017	   0       0        *         12         *         *         12       0          //Dark Phoenix
   09,017	   0       0        *         12         *         *         12       0          //Dark Phoenix
   10,017	   0       0        *         12         *         *         12       0          //Dark Phoenix
   11,017	   0       0        *         12         *         *         12       0          //Dark Phoenix			
   07,021	   0       0        *         12         *         *         12       0          //Flaming Phoenix
   08,021	   0       0        *         12         *         *         12       0          //Flaming Phoenix
   09,021	   0       0        *         12         *         *         12       0          //Flaming Phoenix
   10,021	   0       0        *         12         *         *         12       0          //Flaming Phoenix
   11,021	   0       0        *         12         *         *         12       0          //Flaming Phoenix		
   07,022	   0       0        *         12         *         *         12       0          //Dark Side
   08,022	   0       0        *         12         *         *         12       0          //Dark Side
   09,022	   0       0        *         12         *         *         12       0          //Dark Side
   10,022	   0       0        *         12         *         *         12       0          //Dark Side
   11,022	   0       0        *         12         *         *         12       0          //Dark Side			
   07,024	   0       0        *         12         *         *         12       0          //Nature
   08,024	   0       0        *         12         *         *         12       0          //Nature
   09,024	   0       0        *         12         *         *         12       0          //BNature
   10,024	   0       0        *         12         *         *         12       0          //Nature
   11,024	   0       0        *         12         *         *         12       0          //Nature			
   07,025	   0       0        *         12         *         *         12       0          //Embroidered
   08,025	   0       0        *         12         *         *         12       0          //Embroidered
   09,025	   0       0        *         12         *         *         12       0          //Embroidered
   10,025	   0       0        *         12         *         *         12       0          //Embroidered
   11,025	   0       0        *         12         *         *         12       0          //Embroidered			
   07,026	   0       0        *         12         *         *         12       0          //Storm
   08,026	   0       0        *         12         *         *         12       0          //Storm
   09,026	   0       0        *         12         *         *         12       0          //Storm
   10,026	   0       0        *         12         *         *         12       0          //Storm
   11,026	   0       0        *         12         *         *         12       0          //Storm			
   07,027	   0       0        *         12         *         *         12       0          //Magus
   08,027	   0       0        *         12         *         *         12       0          //Magus
   09,027	   0       0        *         12         *         *         12       0          //Magus
   10,027	   0       0        *         12         *         *         12       0          //Magus
   11,027	   0       0        *         12         *         *         12       0          //Magus			
   07,028	   0       0        *         12         *         *         12       0          //Adamantine
   08,028	   0       0        *         12         *         *         12       0          //Adamantine
   09,028	   0       0        *         12         *         *         12       0          //Adamantine
   10,028	   0       0        *         12         *         *         12       0          //Adamantine
   11,028	   0       0        *         12         *         *         12       0          //Adamantine			
   08,023	   0       0        *         12         *         *         12       0          //Hurricane
   09,023	   0       0        *         12         *         *         12       0          //Hurricane
   10,023	   0       0        *         12         *         *         12       0          //Hurricane
   11,023	   0       0        *         12         *         *         12       0          //Hurricane			
   00,019	   0       0        *         12         *         *         12       0          //Absolute Sword of Archangel
   00,020	   0       0        *         12         *         *         12       0          //Blade of Devourer		
   05,009	   0       0        *         12         *         *         12       0          //Crystal Staff
   05,010	   0       0        *         12         *         *         12       0          //Absolute Staff of Archangel
   05,011	   0       0        *         12         *         *         12       0          //Kundun Staff			
   02,010	   0       0        *         12         *         *         12       0          //Stalker's Mace
   02,011	   0       0        *         12         *         *         12       0          //Mace of Gimli
   02,012	   0       0        *         12         *         *         12       0          //Phantom Mace
   02,013	   0       0        *         12         *         *         12       0          //Mace of the King		
   03,010	   0       0        *         12         *         *         12       0          //Dragon Spear			
   04,017	   0       0        *         12         *         *         12       0          //Celestial Bow
   04,018	   0       0        *         12         *         *         12       0          //Archangel Crossbow		
   06,007	   0       0        *         12         *         *         12       0          //Spiked Shield
   06,009	   0       0        *         12         *         *         12       0          //Iron Shield
   06,011	   0       0        *         12         *         *         12       0          //Serpent Shield
   06,012	   0       0        *         12         *         *         12       0          //Bronce Shield
   06,014	   0       0        *         12         *         *         12       0          //Chaos Shield
end
