// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

//-------------------------------------------------------------------------------------------
//ItemIndex   ItemLevel   MonsterClass   SpecialValue   SpecialLevel   SpecialState   BagPath
//-------------------------------------------------------------------------------------------
459           0           *              *              *              *              "Item\Box of Luck"
459           1           *              *              *              *              "Item\Star of Christmas"
459           3           *              *              *              *              "Item\Heart of Love"
459           5           *              *              *              *              "Item\Silver Medal"
459           6           *              *              *              *              "Item\Gold Medal"
459           7           *              *              *              *              "Item\Box of Heaven"
459           8           *              *              *              *              "Item\Box of Kundun 1"
459           9           *              *              *              *              "Item\Box of Kundun 2"
459           10          *              *              *              *              "Item\Box of Kundun 3"
459           11          *              *              *              *              "Item\Box of Kundun 4"
459           12          *              *              *              *              "Item\Box of Kundun 5"
*             *           42             *              *              *              "Monster\Red Dragon"
*             *           43             *              *              *              "Monster\Golden Budge Dragon"
*             *           53             *              *              *              "Monster\Golden Titan"
*             *           54             *              *              *              "Monster\Golden Soldier"
*             *           55             *              *              *              "Monster\Skeleton King"
*             *           78             *              *              *              "Monster\Golden Goblin"
*             *           79             *              *              *              "Monster\Golden Dragon"
*             *           80             *              *              *              "Monster\Golden Lizard King"
*             *           81             *              *              *              "Monster\Golden Vepar"
*             *           82             *              *              *              "Monster\Golden Tantalos"
*             *           83             *              *              *              "Monster\Golden Iron Wheel"
*             *           *              0              0              *              "Special\Chaos Item Mix"
*             *           *              0              1              *              "Special\Wing 1 Mix"
*             *           *              0              2              *              "Special\Wing 2 Mix"
*             *           *              1              0              1              "Special\Devil Square 1"
*             *           *              1              1              1              "Special\Devil Square 2"
*             *           *              1              2              1              "Special\Devil Square 3"
*             *           *              1              3              1              "Special\Devil Square 4"
*             *           *              2              0              1              "Special\Blood Castle 1"
*             *           *              2              1              1              "Special\Blood Castle 2"
*             *           *              2              2              1              "Special\Blood Castle 3"
*             *           *              2              3              1              "Special\Blood Castle 4"
*             *           *              2              4              1              "Special\Blood Castle 5"
*             *           *              2              5              1              "Special\Blood Castle 6"
end
