// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// -------------------------------------
// [00,000]    [0~13]      [Max 32 Char]
// ItemIndex   ItemLevel   Name
// -------------------------------------
   12,011      0           "Goblin Summoning Orb"
   12,011      1           "Stone Golem Summoning Orb"
   12,011      2           "Assassin Summoning Orb"
   12,011      3           "Elite Yeti Summoning Orb"
   12,011      4           "Dark Knight Summoning Orb"
   12,011      5           "Bali Summoning Orb"
   12,011      6           "Soldier Summoning Orb"
   13,010      0           "Bull Fighter Transformation Ring"
   13,010      1           "Giant Transformation Ring"
   13,010      2           "Skeleton Warrior Transformation Ring"
   13,010      3           "Poison Bull Fighter Transformation Ring"
   13,010      4           "Thunder Lich Transformation Ring"
   13,010      5           "Death Cow Transformation Ring"
   13,010      6           "Budge Dragon Transformation Ring"
   13,014      0           "Loch's Feather"
   13,015      0           "ENG Fruit"
   13,015      1           "STA Fruit"
   13,015      2           "AGI Fruit"
   13,015      3           "STR Fruit"
   13,019      0           "Absolute Staff of the Archangel"
   13,019      1           "Absolute Sword of the Archangel"
   13,019      2           "Absolute Crossbow of the Archangel"
   13,020      0           "Wizard's Ring"
   14,009      0           "Ale"
   14,009      1           "Olive of Love"
   14,011      0           "Box of Luck"
   14,011      1           "Star of the Sacred Birth"
   14,011      2           "Firecracker"
   14,011      3           "Heart of Love"
   14,011      4           "Olive of Love"
   14,011      5           "Silver Medal"
   14,011      6           "Gold Medal"
   14,011      7           "Box of Heaven"
   14,011      8           "Box of Kundun +1"
   14,011      9           "Box of Kundun +2"
   14,011      10          "Box of Kundun +3"
   14,011      11          "Box of Kundun +4"
   14,011      12          "Box of Kundun +5"
   14,021      0           "Rena"
   14,021      1           "Stone"
   14,023      0           "Scroll of the Emperor"
   14,024      0           "Broken Sword"
end
