// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//             [*/0~2] [10~15]     [0~10000]        [0~10000]      [0~10000]       [0~1000000]       [0~1000000]       [0-1]      [0-1]        [*/0~1]        [*/0~1]       [*/0~1]       [0-1]        [0~1]         [0~1]        [0~1]            [*/0/N]     [*/0/N]       [Max 32 Char]
// MapNumber   NonPK   ViewRange   ExperienceRate   ItemDropRate   MoneyDropRate   ExcItemDropRate   SetItemDropRate   ItemDrop   PKItemDrop   MonsterHPBar   TradeEnable   PShopEnable   ChatEnable   PartyEnable   DuelEnable   GuildWarEnable   SpawnGate   RespawnGate   Name
// ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0           *       12          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Lorencia"
   1           *       12          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Dungeon"
   2           *       12          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Devias"
   3           *       12          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Noria"
   4           *       12          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Lost Tower"
   6           *       10          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Arena"
   7           *       12          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Atlans"
   8           *       12          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Tarkan"
   9           *       10          100              100            100             1000              0                 1          1            *              *             *             1            1             0            0                *           *             "Devil Square 1"
   10          *       12          100              100            100             1000              0                 1          1            *              *             *             1            1             1            1                *           *             "Icarus"
   11          *       10          100              100            100             1000              0                 1          1            *              *             *             1            1             0            0                *           *             "Blood Castle 1"
   12          *       10          100              100            100             1000              0                 1          1            *              *             *             1            1             0            0                *           *             "Blood Castle 2"
   13          *       10          100              100            100             1000              0                 1          1            *              *             *             1            1             0            0                *           *             "Blood Castle 3"
   14          *       10          100              100            100             1000              0                 1          1            *              *             *             1            1             0            0                *           *             "Blood Castle 4"
   15          *       10          100              100            100             1000              0                 1          1            *              *             *             1            1             0            0                *           *             "Blood Castle 5"
   16          *       10          100              100            100             1000              0                 1          1            *              *             *             1            1             0            0                *           *             "Blood Castle 6"
end
