// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// -----------------------------------------------------------
// Index   Message
// -----------------------------------------------------------
   0       "La Diosa Yuki anuncia que Blood Castle cerrara en %d minuto(s)"
   1       "Blood Castle permanece sellado. Espera la proxima llamada de la Diosa Yuki."
   2       "La Diosa Yuki anuncia que Blood Castle %d abrira en %d minuto(s)"
   3       "La prueba de Blood Castle ha comenzado! Que la Diosa Yuki los proteja."
   4       "Los enemigos han sido derrotados! Destruyan las puertas de Blood Castle!"
   5       "Los siervos de Kundun han caido! Destruyan la estatua de cristal!"
   6       "La expedicion a Blood Castle ha finalizado."
   7       "La Diosa Yuki considera que aun no estas preparado para entrar a Blood Castle."
   8       "%s dejo caer el Arma Absoluta del Archangel."
   9       "%s obtuvo el Arma Absoluta del Archangel."
   10      "%s destruyo las puertas de Blood Castle."
   11      "%s destruyo la estatua de cristal."
   12      "%s completo con exito la mision de Blood Castle bajo la bendicion de la Diosa Yuki!"
   16      "La Diosa Yuki anuncia que Chaos Castle cerrara en %d minuto(s)"
   17      "Chaos Castle permanece cerrado. Regresa cuando vuelva a abrir."
   18      "Chaos Castle %d abrira en %d minuto(s) por voluntad de la Diosa Yuki."
   19      "Chaos Castle ha comenzado! Demuestra tu valor."
   20      "Chaos Castle ha llegado a su fin."
   21      "No hay suficientes guerreros para iniciar Chaos Castle."
   22      "La Diosa Yuki considera que aun no estas preparado para entrar a Chaos Castle."
   23      "Chaos Castle Survival cerrara en %d minuto(s)"
   24      "Chaos Castle Survival permanece cerrado. Intentelo mas tarde."
   25      "Chaos Castle Survival comenzara en %d minuto(s)"
   26      "Chaos Castle Survival ha comenzado!"
   27      "Chaos Castle Survival ha finalizado."
   28      "No hay suficientes guerreros para iniciar Chaos Castle Survival."
   29      "La Diosa Yuki considera que aun no estas preparado para entrar a Chaos Castle Survival."
   30      "La Diosa Yuki anuncia que Devil Square cerrara en %d minuto(s)."
   31      "Devil Square permanece sellado. Espera la proxima convocatoria."
   32      "La Diosa Yuki anuncia que Devil Square %d abrira en %d minuto(s)."
   33      "Devil Square ha comenzado! Que la Diosa Yuki guie tu batalla."
   34      "La expedicion a Devil Square ha llegado a su fin."
   35      "La Diosa Yuki considera que aun no estas preparado para entrar a Devil Square."
   40      "Illusion Temple will close in %d minute(s)"
   41      "Illusion Temple is closed. Try again next time"
   42      "Illusion Temple %d will start in %d minute(s)"
   43      "Illusion Temple has started!"
   44      "Illusion Temple has finished!"
   45      "You're not strong enough to enter Illusion Temple"
   46      "You do not have the entrance ticket to enter Illusion Temple"
   47      "%s has acquired the artifact"
   48      "%s has dropped the artifact"
   49      "Not enough warriors to start Illusion Temple"
   50      "It is not yet time to enter the Illusion Temple"
   52      "Castle Deep will start in 5 minutes"
   53      "Castle Deep Invasion has started!"
   54      "Castle Deep Invasion has finished"
   55      "%s was killed by %s"
   60      "Will lead to tower of the refinement road after 1 hour again seal"
   61      "After 20 minutes will force to return the village security area"
   62      "Kanturu The Gateway Machine opens in 1 minute"
   63      "Kanturu Battle against Maya will start soon, get ready"
   64      "Kanturu Next battle will start in 1 minute"
   65      "Defeat the Nightmare that controls the Maya to gain entrance to the Refinery"
