// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   101            0             10          26          1
   101            0             11          26          1
   101            0             27          12          1
   101            0             24          5           1
   101            0             24          4           1
   101            0             27          11          1
   101            0             23          24          1
   101            0             27          21          1
   101            0             19          19          1
   101            0             22          24          1
   101            0             23          29          1
   101            0             23          28          1
   101            0             33          9           1
   101            0             35          9           1
   101            0             39          18          1
   101            0             39          17          1
   101            0             39          16          1
   102            0             45          224         3
   101            0             48          193         1
   101            0             49          193         1
   102            0             66          71          3
   102            0             80          61          1
   101            0             90          164         1
   101            0             92          164         1
   101            0             91          164         1
   100            0             126         99          1
   100            0             123         99          1
   100            0             120         99          1
   100            0             117         99          1
   100            0             136         95          1
   100            0             139         95          1
   101            0             128         212         1
   101            0             130         213         1
   101            0             143         214         1
   101            0             155         230         5
   100            0             172         12          1
   100            0             166         12          1
   102            0             169         12          1
   102            0             175         12          1
   100            0             178         12          1
   100            0             177         103         1
   100            0             180         103         1
   100            0             183         103         1
   100            0             186         103         1
   100            0             189         103         1
   100            0             186         151         3
   100            0             196         33          1
   100            0             193         33          1
   100            0             202         93          1
   100            0             205         93          1
   100            0             198         130         1
   100            0             202         150         1
   100            0             232         46          3
   100            0             232         40          3
   100            0             232         37          3
   100            0             227         61          1
   100            0             229         93          1
   100            0             232         93          1
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   8              30            30          122         *
   8              30            40          98          *
   8              30            4           73          *
   8              30            12          56          *
   8              30            2           78          *
   16             30            108         9           *
   14             30            120         232         *
   14             30            107         230         *
   12             30            65          205         *
   14             30            84          244         *
   15             30            61          169         *
   14             30            94          242         *
   14             30            108         195         *
   14             30            94          208         *
   11             30            69          167         *
   12             30            87          177         *
   11             30            136         149         *
   12             30            70          195         *
   14             30            62          181         *
   12             30            61          213         *
   11             30            133         212         *
   12             30            69          222         *
   12             30            57          247         *
   12             30            49          246         *
   14             30            31          247         *
   14             30            3           246         *
   14             30            29          246         *
   14             30            83          198         *
   17             30            18          220         *
   14             30            33          209         *
   11             30            135         212         *
   12             30            86          196         *
   11             30            151         212         *
   11             30            168         220         *
   12             30            46          210         *
   14             30            45          201         *
   12             30            46          205         *
   11             30            46          146         *
   11             30            49          182         *
   11             30            44          162         *
   11             30            45          180         *
   11             30            45          183         *
   11             30            164         232         *
   12             30            137         241         *
   12             30            130         244         *
   11             30            92          157         *
   11             30            102         174         *
   11             30            113         166         *
   15             30            217         229         *
   11             30            222         223         *
   11             30            163         184         *
   11             30            164         186         *
   17             30            230         173         *
   17             30            236         167         *
   11             30            150         193         *
   11             30            142         218         *
   12             30            134         240         *
   17             30            241         173         *
   11             30            199         116         *
   5              30            170         126         *
   14             30            120         243         *
   11             30            240         247         *
   11             30            242         247         *
   11             30            241         226         *
   11             30            246         220         *
   11             30            243         201         *
   5              30            163         114         *
   11             30            244         192         *
   11             30            213         248         *
   17             30            173         200         *
   11             30            148         149         *
   5              30            163         125         *
   15             30            141         110         *
   5              30            145         118         *
   13             30            112         93          *
   15             30            98          54          *
   14             30            99          49          *
   13             30            104         65          *
   13             30            183         27          *
   8              30            187         15          *
   8              30            158         17          *
   16             30            159         41          *
   16             30            115         8           *
   5              30            123         120         *
   15             30            114         110         *
   15             30            68          110         *
   15             30            76          111         *
   16             30            124         20          *
   16             30            90          6           *
   13             30            114         20          *
   5              30            138         86          *
   16             30            212         83          *
   16             30            211         90          *
   16             30            226         58          *
   16             30            239         56          *
   16             30            235         23          *
   13             30            247         87          *
   11             30            247         7           *
   11             30            240         7           *
   11             30            241         9           *
   9              30            28          18          *
   9              30            22          4           *
   9              30            18          29          *
   9              30            18          23          *
   9              30            34          4           *
   8              30            119         47          *
   9              30            22          90          *
   9              30            33          78          *
   8              30            25          100         *
   16             30            29          80          *
   9              30            42          117         *
   10             30            14          107         *
   8              30            21          82          *
   10             30            22          65          *
   10             30            39          77          *
   10             30            29          66          *
   8              30            16          55          *
   8              30            35          55          *
   8              30            116         47          *
   8              30            122         46          *
   8              30            193         30          *
   5              30            120         75          *
   13             30            149         94          *
   5              30            81          58          *
   13             30            126         94          *
   5              30            71          53          *
   5              30            69          88          *
   16             30            86          105         *
   16             30            88          104         *
   5              30            98          111         *
   15             30            156         125         *
   17             30            165         171         *
   17             30            208         162         *
   17             30            220         161         *
   17             30            176         188         *
   17             30            168         150         *
