// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
    240            0             15          12          3      //NPC Vault
    231            0             15          15          3      //Thompson Kenel (Dialogo)
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   48             30            236         177         *
   51             30            212         96          *
   45             30            21          41          *
   45             30            23          33          *
   45             30            31          31          *
   45             30            39          23          *
   45             30            41          11          *
   45             30            21          48          *
   45             30            47          41          *
   45             30            39          63          *
   45             30            72          42          *
   45             30            23          56          *
   45             30            23          64          *
   45             30            35          70          *
   45             30            29          75          *
   45             30            62          21          *
   45             30            78          19          *
   45             30            67          36          *
   45             30            24          86          *
   45             30            48          57          *
   45             30            45          70          *
   45             30            19          125         *
   45             30            49          8           *
   45             30            46          20          *
   45             30            39          35          *
   45             30            37          50          *
   45             30            20          75          *
   45             30            63          44          *
   45             30            68          52          *
   45             30            49          64          *
   45             30            29          52          *
   46             30            46          21          *
   46             30            48          9           *
   46             30            50          65          *
   46             30            51          70          *
   46             30            80          33          *
   46             30            62          17          *
   46             30            61          11          *
   46             30            69          19          *
   46             30            75          15          *
   46             30            83          15          *
   46             30            84          21          *
   46             30            67          27          *
   46             30            59          34          *
   46             30            86          37          *
   46             30            78          44          *
   46             30            71          52          *
   46             30            65          59          *
   46             30            65          51          *
   46             30            55          44          *
   46             30            40          48          *
   46             30            31          53          *
   46             30            24          90          *
   46             30            21          100         *
   46             30            25          105         *
   46             30            30          110         *
   46             30            21          118         *
   46             30            38          117         *
   46             30            141         11          *
   46             30            127         17          *
   46             30            114         26          *
   46             30            107         18          *
   46             30            104         13          *
   46             30            115         12          *
   46             30            89          62          *
   46             30            75          76          *
   46             30            69          87          *
   46             30            50          93          *
   46             30            23          72          *
   46             30            78          23          *
   46             30            70          38          *
   46             30            55          25          *
   46             30            30          122         *
   46             30            17          126         *
   46             30            122         29          *
   46             30            108         40          *
   48             30            66          222         *
   48             30            63          218         *
   48             30            57          225         *
   48             30            171         162         *
   48             30            175         169         *
   48             30            178         174         *
   48             30            173         179         *
   48             30            171         187         *
   48             30            165         193         *
   48             30            159         198         *
   48             30            152         201         *
   48             30            144         201         *
   48             30            137         205         *
   48             30            124         206         *
   48             30            115         210         *
   48             30            104         211         *
   48             30            94          210         *
   48             30            87          214         *
   48             30            76          215         *
   48             30            47          224         *
   48             30            46          217         *
   48             30            29          226         *
   48             30            22          213         *
   48             30            24          204         *
   48             30            34          200         *
   48             30            35          209         *
   48             30            40          210         *
   48             30            45          205         *
   48             30            47          211         *
   48             30            37          232         *
   48             30            226         52          *
   48             30            22          230         *
   48             30            41          224         *
   48             30            82          215         *
   48             30            167         156         *
   48             30            177         146         *
   52             30            156         156         *
   52             30            162         149         *
   52             30            152         169         *
   52             30            72          128         *
   52             30            70          138         *
   52             30            61          147         *
   52             30            49          158         *
   52             30            33          169         *
   52             30            22          173         *
   52             30            55          181         *
   52             30            67          186         *
   52             30            73          180         *
   52             30            89          184         *
   52             30            101         183         *
   52             30            111         183         *
   52             30            122         178         *
   52             30            129         171         *
   52             30            138         167         *
   52             30            147         164         *
   52             30            170         145         *
   52             30            163         138         *
   52             30            53          220         *
   52             30            41          222         *
   52             30            29          231         *
   52             30            22          232         *
   52             30            27          209         *
   52             30            36          205         *
   52             30            109         211         *
   52             30            131         207         *
   52             30            155         196         *
   52             30            167         154         *
   52             30            177         19          *
   52             30            118         167         *
   52             30            111         175         *
   52             30            63          178         *
   52             30            162         141         *
   52             30            138         176         *
   47             30            41          109         *
   47             30            49          100         *
   47             30            54          89          *
   47             30            62          87          *
   47             30            71          82          *
   47             30            79          70          *
   47             30            85          64          *
   47             30            94          60          *
   47             30            101         50          *
   47             30            106         48          *
   47             30            112         45          *
   47             30            109         38          *
   47             30            118         37          *
   47             30            122         29          *
   47             30            119         20          *
   47             30            124         14          *
   47             30            133         14          *
   47             30            150         14          *
   47             30            161         11          *
   47             30            166         16          *
   47             30            171         18          *
   47             30            182         14          *
   47             30            190         24          *
   47             30            196         27          *
   47             30            200         17          *
   47             30            208         9           *
   47             30            218         47          *
