// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
    240            0             188         68          3      //NPC Vault
    233            0             190         51          5      //Messenger of Archangel
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   61             30            7           205         *
   61             30            5           214         *
   58             30            8           219         *
   61             30            6           228         *
   59             30            11          241         *
   58             30            18          238         *
   62             30            146         53          *
   61             30            72          167         *
   61             30            83          176         *
   61             30            63          173         *
   62             30            148         43          *
   62             30            155         40          *
   62             30            134         57          *
   62             30            151         34          *
   62             30            149         28          *
   62             30            141         74          *
   62             30            142         68          *
   61             30            11          234         *
   62             30            141         24          *
   62             30            137         20          *
   62             30            132         15          *
   60             30            148         66          *
   62             30            134         82          *
   62             30            135         89          *
   62             30            136         96          *
   62             30            148         91          *
   62             30            157         89          *
   62             30            158         80          *
   62             30            154         73          *
   62             30            162         101         *
   62             30            161         110         *
   62             30            171         116         *
   62             30            180         112         *
   62             30            190         112         *
   62             30            197         108         *
   62             30            205         105         *
   62             30            186         120         *
   60             30            181         123         *
   62             30            173         129         *
   62             30            169         136         *
   62             30            162         141         *
   62             30            159         148         *
   62             30            151         155         *
   62             30            152         147         *
   62             30            152         133         *
   62             30            162         129         *
   62             30            152         125         *
   62             30            152         116         *
   62             30            171         106         *
   62             30            151         101         *
   62             30            142         100         *
   62             30            140         37          *
   62             30            133         65          *
   60             30            134         72          *
   60             30            128         74          *
   57             30            123         73          *
   60             30            115         86          *
   60             30            121         87          *
   60             30            128         98          *
   60             30            121         99          *
   60             30            108         95          *
   60             30            104         87          *
   60             30            107         80          *
   60             30            109         64          *
   60             30            108         55          *
   60             30            118         42          *
   60             30            126         42          *
   60             30            133         44          *
   60             30            125         26          *
   60             30            113         34          *
   60             30            105         33          *
   60             30            108         43          *
   60             30            103         49          *
   60             30            97          46          *
   60             30            88          41          *
   60             30            95          26          *
   60             30            96          36          *
   60             30            96          56          *
   60             30            102         61          *
   60             30            104         70          *
   60             30            96          78          *
   60             30            97          66          *
   57             30            81          63          *
   57             30            70          57          *
   57             30            65          64          *
   57             30            64          71          *
   57             30            56          75          *
   57             30            46          71          *
   57             30            38          71          *
   57             30            35          62          *
   57             30            27          75          *
   57             30            34          78          *
   57             30            25          83          *
   57             30            21          92          *
   58             30            38          87          *
   57             30            38          98          *
   57             30            48          99          *
   57             30            55          100         *
   57             30            62          91          *
   57             30            70          92          *
   57             30            79          89          *
   57             30            85          91          *
   60             30            91          86          *
   57             30            89          71          *
   57             30            90          50          *
   58             30            69          120         *
   58             30            61          121         *
   58             30            54          120         *
   58             30            43          121         *
   58             30            35          121         *
   58             30            24          120         *
   58             30            18          127         *
   58             30            25          127         *
   58             30            32          132         *
   58             30            29          98          *
   58             30            42          134         *
   58             30            35          141         *
   58             30            26          149         *
   58             30            26          160         *
   58             30            33          157         *
   58             30            40          150         *
   58             30            52          138         *
   58             30            61          134         *
   60             30            74          81          *
   58             30            75          133         *
   58             30            81          126         *
   58             30            87          120         *
   58             30            77          118         *
   58             30            96          123         *
   58             30            107         119         *
   58             30            112         124         *
   58             30            119         139         *
   58             30            107         139         *
   58             30            105         130         *
   58             30            107         149         *
   58             30            86          131         *
   61             30            73          125         *
   58             30            76          145         *
   58             30            69          139         *
   58             30            60          143         *
   58             30            52          157         *
   58             30            52          165         *
   58             30            45          175         *
   58             30            33          168         *
   58             30            35          175         *
   58             30            42          164         *
   58             30            64          164         *
   61             30            131         178         *
   58             30            79          156         *
   58             30            93          137         *
   58             30            115         154         *
   58             30            124         152         *
   58             30            129         141         *
   58             30            125         129         *
   58             30            124         161         *
   58             30            115         168         *
   58             30            120         177         *
   61             30            127         171         *
   61             30            127         188         *
   61             30            121         196         *
   61             30            123         208         *
   61             30            121         217         *
   61             30            106         225         *
   61             30            109         217         *
   61             30            102         212         *
   61             30            98          207         *
   61             30            88          208         *
   61             30            80          207         *
   61             30            78          198         *
   61             30            88          189         *
   61             30            83          185         *
   58             30            98          193         *
   61             30            73          179         *
   58             30            71          184         *
   61             30            161         188         *
   61             30            114         209         *
   61             30            153         187         *
   61             30            166         190         *
   61             30            159         195         *
   61             30            172         195         *
   61             30            179         194         *
   61             30            183         201         *
   61             30            177         207         *
   58             30            176         214         *
   61             30            173         221         *
   58             30            160         203         *
   63             30            161         225         *
   61             30            161         218         *
   61             30            157         214         *
   61             30            153         209         *
   61             30            150         203         *
   61             30            167         225         *
   61             30            93          150         *
   61             30            169         204         *
   61             30            44          213         *
   61             30            39          210         *
   61             30            31          207         *
   58             30            24          212         *
   58             30            27          229         *
   61             30            31          236         *
   61             30            29          245         *
   58             30            36          225         *
   58             30            42          244         *
   61             30            50          241         *
   61             30            50          230         *
   61             30            43          222         *
   61             30            29          220         *
   61             30            15          218         *
   61             30            19          205         *
   61             30            11          246         *
   61             30            6           240         *
   61             30            157         224         *
   61             30            85          141         *
   58             30            22          244         *
   58             30            52          204         *
   58             30            165         219         *
   57             30            114         78          *
end
