// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

4
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   015            30            124         082         *
   015            30            135         102         *
   015            30            131         087         *
   015            30            126         083         *
   015            30            146         087         *
   015            30            128         096         *
   015            30            139         098         *
   015            30            134         109         *
   015            30            146         102         *
   015            30            127         089         *
   015            30            144         098         *
   015            30            148         097         *
   015            30            134         095         *
   015            30            128         103         *
   015            30            148         101         *
   015            30            130         109         *
   015            30            122         086         *
   015            30            129         090         *
   015            30            121         100         *
   017            30            145         096         *
   017            30            129         105         *
   017            30            147         094         *
   017            30            133         087         *
   017            30            141         104         *
   017            30            144         102         *
   017            30            143         109         *
   017            30            127         085         *
   017            30            141         097         *
   017            30            135         094         *
   017            30            142         103         *
   017            30            128         097         *
   017            30            128         084         *
   017            30            134         095         *
   017            30            121         084         *
   017            30            139         100         *
   017            30            141         108         *
   017            30            145         091         *
   017            30            145         085         *
   017            30            145         100         *
   005            30            148         108         *
   005            30            148         090         *
   005            30            132         103         *
   005            30            129         102         *
   005            30            143         086         *
   005            30            140         104         *
   005            30            146         106         *
   005            30            134         105         *
   005            30            134         106         *
   005            30            124         109         *
   005            30            141         083         *
   005            30            136         085         *
   005            30            131         098         *
   005            30            121         083         *
   005            30            138         107         *
   009            30            142         109         *
   009            30            143         088         *
   009            30            146         096         *
   009            30            146         101         *
   009            30            139         082         *
   009            30            139         099         *
   009            30            137         105         *
   009            30            134         108         *
   009            30            128         109         *
   009            30            139         090         *
   009            30            148         096         *
   009            30            127         092         *
   009            30            144         097         *
   009            30            127         095         *
   009            30            121         107         *
   010            30            130         096         *
   010            30            137         090         *
   010            30            137         093         *
   010            30            131         094         *
   010            30            133         102         *
   010            30            124         091         *
   010            30            141         082         *
   010            30            142         105         *
   010            30            132         086         *
   010            30            136         090         *
   016            30            121         082         *
   016            30            123         100         *
   016            30            141         094         *
   016            30            124         090         *
   016            30            137         090         *
   016            30            130         098         *
   016            30            144         089         *
   016            30            124         092         *
   016            30            140         102         *
   016            30            130         086         *
   018            30            132         096         *
   018            30            124         107         *
   018            30            132         084         *
   018            30            132         105         *
   018            30            133         100         *
   018            30            122         086         *
   018            30            126         094         *
   018            30            148         101         *
   018            30            140         090         *
   018            30            139         106         *
end

4
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   036            30            137         164         *
   036            30            126         154         *
   036            30            137         174         *
   036            30            133         159         *
   036            30            128         155         *
   036            30            148         159         *
   036            30            130         168         *
