// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   77             30            34          238         1
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   70             30            66          68          *
   70             30            85          88          *
   70             30            80          76          *
   73             30            45          72          *
   72             30            41          113         *
   72             30            42          135         *
   74             30            29          104         *
   74             30            38          103         *
   74             30            35          94          *
   74             30            32          87          *
   73             30            35          69          *
   73             30            26          74          *
   73             30            36          79          *
   74             30            39          85          *
   72             30            51          126         *
   71             30            88          70          *
   72             30            53          138         *
   72             30            44          148         *
   72             30            33          119         *
   74             30            33          111         *
   71             30            84          47          *
   71             30            79          33          *
   71             30            58          42          *
   70             30            89          38          *
   71             30            70          43          *
   71             30            64          30          *
   71             30            53          27          *
   70             30            91          59          *
   72             30            41          157         *
   69             30            44          27          *
   69             30            12          27          *
   69             30            13          38          *
   69             30            48          40          *
   72             30            42          122         *
   69             30            28          28          *
   71             30            93          47          *
   72             30            53          150         *
   75             30            50          162         *
   75             30            52          174         *
   75             30            55          181         *
   75             30            44          212         *
   72             30            38          216         *
   75             30            47          189         *
   75             30            59          190         *
   75             30            48          200         *
   75             30            57          200         *
   75             30            27          220         *
   69             30            66          37          *
   69             30            80          41          *
   75             30            43          238         *
   72             30            44          221         *
   69             30            40          34          *
   69             30            31          37          *
   69             30            18          31          *
   71             30            57          34          *
   71             30            71          33          *
   72             30            36          226         *
   75             30            48          228         *
   70             30            84          36          *
   70             30            90          48          *
   70             30            95          56          *
   70             30            74          84          *
   70             30            74          72          *
   70             30            57          71          *
   73             30            28          67          *
   71             30            50          33          *
   71             30            59          27          *
   71             30            74          38          *
   69             30            36          29          *
   69             30            37          41          *
   69             30            26          41          *
   69             30            21          24          *
   75             30            32          231         *
   75             30            45          173         *
   75             30            59          163         *
   75             30            52          168         *
   69             30            21          36          *
   70             30            64          84          *
   70             30            69          77          *
end
