// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// ---------------------------------------------------------------------------------------------------------------------------------------------------------
//             [0~2]                  [1~255]       [1~255]       [1~255]     [1~255]     [0/N]        [0~7]       [*/N]      [*/N]      [*/N]      [*/N]
// GateIndex   GateFlag   MapNumber   RangeStartX   RangeStartY   RangeEndX   RangeEndY   TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset
// ---------------------------------------------------------------------------------------------------------------------------------------------------------
   1           1          0           121           232           123         233         2            0           20         *          *          *
   2           2          1           107           247           110         247         0            1           20         *          *          *
   3           1          1           108           248           109         248         4            0           0          *          *          *
   4           2          0           121           231           123         231         0            1           0          *          *          *
   5           1          1           239           149           239         150         6            0           20         *          *          *
   6           2          1           231           126           234         127         0            1           20         *          *          *
   7           1          1           232           127           233         128         8            0           20         *          *          *
   8           2          1           240           148           241         151         0            3           20         *          *          *
   9           1          1           2             17            2           18          10           0           20         *          *          *
   10          2          1           3             83            4           86          0            3           20         *          *          *
   11          1          1           2             84            2           85          12           0           20         *          *          *
   12          2          1           3             16            6           17          0            3           20         *          *          *
   13          1          1           5             34            6           34          14           0           20         *          *          *
   14          2          1           29            125           30          126         0            1           20         *          *          *
   15          1          1           29            127           30          127         16           0           20         *          *          *
   16          2          1           5             32            7           33          0            1           20         *          *          *
   17          0          0           133           118           151         135         0            0           0          *          *          *
   18          1          0           5             38            6           41          19           0           15         *          *          *
   19          2          2           242           34            243         37          0            7           15         *          *          *
   20          1          2           244           34            245         37          21           0           0          *          *          *
   21          2          0           7             38            8           41          0            3           0          *          *          *
   22          0          2           197           35            218         50          0            0           15         *          *          *
   23          1          0           213           246           217         247         24           0           10         *          *          *
   24          2          3           148           5             155         6           0            5           10         *          *          *
   25          1          3           148           3             155         4           26           0           10         *          *          *
   26          2          0           213           244           217         245         0            1           10         *          *          *
   27          0          3           171           108           177         117         0            0           0          *          *          *
