// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// -----------------------------------------------------------------------------------------------
// [00,000]    [0~11]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   Comment
// -----------------------------------------------------------------------------------------------
   14,000      0           1            0             0            0           0           //Apple
   14,001      0           1            0             0            0           0           //Small Healing Potion
   14,002      0           1            0             0            0           0           //Healing Potion
   14,003      0           1            0             0            0           0           //Large Healing Potion
   14,004      0           1            0             0            0           0           //Small Mana Potion
   14,005      0           1            0             0            0           0           //Mana Potion
   14,006      0           1            0             0            0           0           //Large Mana Potion
   14,008      0           1            0             0            0           0           //Antidote
   14,000      0           3            0             0            0           0           //Apple
   14,001      0           3            0             0            0           0           //Small Healing Potion
   14,002      0           3            0             0            0           0           //Healing Potion
   14,003      0           3            0             0            0           0           //Large Healing Potion
   14,004      0           3            0             0            0           0           //Small Mana Potion
   14,005      0           3            0             0            0           0           //Mana Potion
   14,006      0           3            0             0            0           0           //Large Mana Potion
   14,008      0           3            0             0            0           0           //Antidote
   14,000      1           1            0             0            0           0           //Apple
   14,001      1           1            0             0            0           0           //Small Mana Potion
   14,002      1           1            0             0            0           0           //Healing Potion
   14,003      1           1            0             0            0           0           //Large Healing Potion
   14,000      1           3            0             0            0           0           //Apple
   14,001      1           3            0             0            0           0           //Small Mana Potion
   14,002      1           3            0             0            0           0           //Healing Potion
   14,003      1           3            0             0            0           0           //Large Healing Potion
   04,007      0           255          0             0            0           0           //Bolt
   04,007      1           255          0             0            0           0           //Bolt
   04,007      2           255          0             0            0           0           //Bolt
   04,015      0           255          0             0            0           0           //Arrow
   04,015      1           255          0             0            0           0           //Arrow
   04,015      2           255          0             0            0           0           //Arrow
   13,007      0           1            0             0            0           0           //Contract (Summon)
   13,007      1           1            0             0            0           0           //Contract (Summon)
   14,010      0           1            0             0            0           0           //Town Portal Scroll
   13,029      0           1            0             0            0           0           //Armor of Guardsman
end
