// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// --------------------------------------------------------------------------------------------------------
//                        [1~255]     [1~255]     [0~8]       [Switch]                [*/0~N]   [Data\Shop]
// NPCIndex   MapNumber   LocationX   LocationY   Direction   AL0   AL1   AL2   AL3   GMLevel   ShopPath
// --------------------------------------------------------------------------------------------------------
   230        0           062         130         3           1     1     1     1     *         "230b - Wandering Merchant Alex Lorencia"
   231        2           008         077         3           1     1     1     1     *         "231 - Thompson Kenel"
   239        6           072         164         1           1     1     1     1     *         "239 - Arena Guard"
   242        3           173         125         1           1     1     1     1     *         "242 - Elf Lala"
   243        3           195         124         2           1     1     1     1     *         "243 - Eo the Craftsman"
   244        2           226         025         3           1     1     1     1     *         "244 - Caren the Barmaid"
   245        2           225         041         3           1     1     1     1     *         "245 - Wizard Izabel"
   246        2           186         047         3           1     1     1     1     *         "246 - Weapons Merchant Zienna"
   248        0           006         145         2           1     1     1     1     *         "248 - Wandering Merchant Martin"
   250        0           183         137         2           1     1     1     1     *         "250 - Wandering Merchant"
   251        0           116         141         3           1     1     1     1     *         "251 - Hanzo the Blacksmith"
   253        0           127         086         2           1     1     1     1     *         "253 - Potion Girl Amy"
   254        0           118         113         3           1     1     1     1     *         "254 - Pasi the Mage"
   255        0           123         135         1           1     1     1     1     *         "255 - Lumen the Barmaid"
    245        8           198         74          3           1     1     1     1     *         "245a - Wizard Izabel Tarkan"
    245        0           130         127         3           1     1     1     1     *         "245b - Wizard Izabel Lorencia"
    254        7           017         022         3           1     1     1     1     *         "254a - Pasi the Mage Atlans"
    251        4           202         080         3           1     1     1     1     *         "251a - Hanzo the Blacksmith LostTower"
     246        4           203         71          5           1     1     1     1     *         "246a - Weapons Merchant Zienna LostTower"
     250        4           213         74          7           1     1     1     1     *         "250a - Wandering Merchant LostTower"
     255        4           206         71          5           1     1     1     1     *         "255a - Lumen the Barmaid LostTower"
       243        4           210         72          6           1     1     1     1     *         "243a - Eo the Craftsman LostTower"
       230        4           193         77          7           1     1     1     1     *         "230a - Wandering Merchant Alex LostTower"
end
